,experiment,val,val_cv1,val_cv2,val_cv3,val_cvall,test,time
0,MLPClassifier_df_text_map_idea_max_split,1.0,0.4472,0.439,0.4797,0.4553,0.4086,11.226776838302612
1,MLPClassifier_df_text_idea_max_split,0.8591,0.4472,0.4715,0.5203,0.4797,0.4409,5.4098756313323975
2,MLPClassifier_df_text_idea_avg_split,0.8482,0.4228,0.5122,0.4634,0.4661,0.4409,6.199997425079346
3,MLPClassifier_df_text_map_split,1.0,0.3252,0.374,0.3821,0.3604,0.3871,6.031518459320068
4,MLPClassifier_df_feat_text_split,0.9485,0.3902,0.4309,0.4553,0.4255,0.4731,3.388420343399048
5,MLPClassifier_df_text_split,0.9593,0.4228,0.4228,0.4309,0.4255,0.4731,3.1696677207946777
6,MLPClassifier_df_feat_split,0.523,0.3415,0.4146,0.4065,0.3875,0.4086,0.6965377330780029
7,Perceptron_df_text_map_idea_max_split,0.9756,0.3821,0.3496,0.374,0.3686,0.3656,1.377446174621582
8,Perceptron_df_text_idea_max_split,0.6667,0.3333,0.4472,0.3171,0.3659,0.2903,0.6221554279327393
9,Perceptron_df_text_idea_avg_split,0.7967,0.3333,0.3577,0.3984,0.3631,0.2796,0.6346421241760254
10,Perceptron_df_text_map_split,1.0,0.3659,0.3089,0.3008,0.3252,0.3656,0.521195650100708
11,Perceptron_df_feat_text_split,0.5149,0.3089,0.3659,0.3984,0.3577,0.4086,0.12383532524108887
12,Perceptron_df_text_split,0.5528,0.3984,0.3821,0.3821,0.3875,0.3763,0.12258195877075195
13,Perceptron_df_feat_split,0.3171,0.374,0.2439,0.2683,0.2954,0.2688,0.16175174713134766
14,GaussianProcessClassifier_df_text_map_idea_max_split,1.0,0.0163,0.0163,0.0244,0.019,0.0215,47.47812819480896
15,GaussianProcessClassifier_df_text_idea_max_split,0.8591,0.2439,0.3171,0.3008,0.2873,0.2366,19.518650770187378
16,GaussianProcessClassifier_df_text_idea_avg_split,0.8591,0.2439,0.3252,0.2927,0.2873,0.2473,21.481626272201538
17,GaussianProcessClassifier_df_text_map_split,1.0,0.0163,0.0163,0.0244,0.019,0.0215,19.833649158477783
18,GaussianProcessClassifier_df_feat_text_split,1.0,0.3821,0.3577,0.3496,0.3631,0.3333,1.526667594909668
19,GaussianProcessClassifier_df_text_split,1.0,0.374,0.374,0.3089,0.3523,0.3656,1.8099370002746582
20,GaussianProcessClassifier_df_feat_split,0.6287,0.3415,0.4472,0.4472,0.4119,0.3871,5.558056831359863
21,RandomForestClassifier_df_text_map_idea_max_split,1.0,0.4878,0.5772,0.5528,0.5393,0.4624,2.059095621109009
22,RandomForestClassifier_df_text_idea_max_split,0.8591,0.4715,0.5285,0.5041,0.5014,0.4409,1.8661065101623535
23,RandomForestClassifier_df_text_idea_avg_split,0.8591,0.4228,0.5203,0.4553,0.4661,0.4194,1.8694987297058105
24,RandomForestClassifier_df_text_map_split,1.0,0.4228,0.4715,0.4228,0.439,0.4301,2.4850668907165527
25,RandomForestClassifier_df_feat_text_split,1.0,0.4309,0.5366,0.5122,0.4932,0.3871,0.8055336475372314
26,RandomForestClassifier_df_text_split,1.0,0.4634,0.5528,0.5285,0.5149,0.3871,0.8719501495361328
27,RandomForestClassifier_df_feat_split,0.9621,0.3902,0.4065,0.3821,0.393,0.3978,0.7097773551940918
28,DecisionTreeClassifier_df_text_map_idea_max_split,1.0,0.4634,0.4472,0.4472,0.4526,0.3441,6.505176067352295
29,DecisionTreeClassifier_df_text_idea_max_split,0.8591,0.4065,0.4553,0.4715,0.4444,0.4194,2.067617416381836
30,DecisionTreeClassifier_df_text_idea_avg_split,0.8591,0.4146,0.4878,0.4228,0.4417,0.3656,2.4225330352783203
31,DecisionTreeClassifier_df_text_map_split,1.0,0.3415,0.3171,0.2439,0.3008,0.3333,4.146461725234985
32,DecisionTreeClassifier_df_feat_text_split,1.0,0.3496,0.4228,0.3902,0.3875,0.3226,0.13012456893920898
33,DecisionTreeClassifier_df_text_split,1.0,0.3171,0.439,0.4228,0.393,0.3548,0.12723970413208008
34,DecisionTreeClassifier_df_feat_split,0.9621,0.3496,0.3577,0.374,0.3604,0.2903,0.03800010681152344
35,KNeighborsClassifier_df_text_map_idea_max_split,0.6098,0.4065,0.4553,0.4146,0.4255,0.4194,0.8001244068145752
36,KNeighborsClassifier_df_text_idea_max_split,0.5772,0.4715,0.5285,0.4553,0.4851,0.4624,0.4165515899658203
37,KNeighborsClassifier_df_text_idea_avg_split,0.5989,0.439,0.4472,0.439,0.4417,0.4409,0.39881014823913574
38,KNeighborsClassifier_df_text_map_split,0.5122,0.3577,0.3171,0.3333,0.336,0.2903,0.4220454692840576
39,KNeighborsClassifier_df_feat_text_split,0.6016,0.4146,0.439,0.4309,0.4282,0.3548,0.09600496292114258
40,KNeighborsClassifier_df_text_split,0.6098,0.4146,0.4797,0.439,0.4444,0.3333,0.36529088020324707
41,KNeighborsClassifier_df_feat_split,0.5799,0.3984,0.4472,0.4146,0.4201,0.4086,0.15372419357299805
42,SVC_df_text_map_idea_max_split,0.7967,0.4228,0.4959,0.4878,0.4688,0.4409,2.961167812347412
43,SVC_df_text_idea_max_split,0.6558,0.4472,0.5691,0.5447,0.5203,0.4301,1.0989553928375244
44,SVC_df_text_idea_avg_split,0.6396,0.439,0.5447,0.5203,0.5014,0.4194,1.1824262142181396
45,SVC_df_text_map_split,0.7453,0.4065,0.4228,0.374,0.4011,0.3978,1.350306749343872
46,SVC_df_feat_text_split,0.6694,0.4309,0.5285,0.439,0.4661,0.4409,0.06640362739562988
47,SVC_df_text_split,0.6829,0.439,0.5285,0.4634,0.477,0.4409,0.07094693183898926
48,SVC_df_feat_split,0.4959,0.3902,0.3902,0.4309,0.4038,0.3763,0.05829143524169922
